"Lon","Lat","NAMES","DATE","TYPE"
-105.2155,39.11636,"June 1997",2005-03-19 06:00:00,"Class_A"
-106.8583,37.025,"January 2001",2003-04-11 06:00:00,"Class_A"
-104.3786,37.09263,"1985",2005-04-12 06:00:00,"Class_A"
-106.6417,38.59998,"November 1990",2003-09-04 06:00:00,"Class_A"
-106.4417,39.0917,"May 2002",2002-05-29 06:00:00,"Class_A"
-106.625,39.45824,"September 2002",2003-09-17 06:00:00,"Class_A"
-105.3542,39.31667,"September 1978",2005-02-04 06:00:00,"Class_A"
-107.7084,38.875,"September 1994",1994-09-15 06:00:00,"Class_A"
-105.1146,38.826,"July 1977",1977-07-04 07:00:00,"Class_A"
-105.298,40.00817,"November 1995",1995-11-01 06:00:00,"Class_A"
-105.2146,39.0465,"Late 70's",1979-06-13 07:00:00,"Class_A"
-108.3364,37.33925,"October 2004",2004-10-15 06:00:00,"Class_A"
-107.9514,39.16305,"June 1999",1999-05-15 06:00:00,"Class_A"
-105.1137,38.0654,"July 1998",1998-07-25 06:00:00,"Class_A"
-105.3792,40.17585,"August 1964",1964-08-01 07:00:00,"Class_A"
-104.9426,38.5859,"May 2006",2006-05-15 06:00:00,"Class_A"
-106.1666,39.7198,"late 60s",1971-06-30 07:00:00,"Class_A"
-107.7247,37.83905,"April 1989",1989-04-01 05:00:00,"Class_A"
-104.875,38.716,"July 1986",1986-07-17 06:00:00,"Class_A"
-105.7854,39.39565,"December 2002",2002-12-15 06:00:00,"Class_A"
-106.5445,39.1006,"September 2009",2009-09-01 06:00:00,"Class_A"
-105.6385,40.84707,"September 2009",2009-09-22 06:00:00,"Class_A"
-106.496,37.37285,"June 2009",2009-06-10 06:00:00,"Class_A"
-73.1512,41.36935,"August 1953",1953-08-01 07:00:00,"Class_A"
-85.6489,30.98555,"August 76",1976-08-15 07:00:00,"Class_A"
-84.60745,30.6645,"December 1994",1994-12-18 06:00:00,"Class_A"
-80.21295,26.5931,"July 74-75",1974-07-15 07:00:00,"Class_A"
-82.0332,27.0047,"August 1962",1962-08-15 07:00:00,"Class_A"
-81.52915,30.2333,"August 2000",2000-09-22 06:00:00,"Class_A"
-80.8595,28.3725,"September 1989",1989-09-15 06:00:00,"Class_A"
-80.1937,26.27395,"January 1975",1975-01-15 06:00:00,"Class_A"
-80.21025,26.08285,"July 1980",1980-07-15 06:00:00,"Class_A"
-81.75165,30.05705,"1986",1986-08-15 06:00:00,"Class_A"
-81.76041,26.15915,"November 1983",1983-11-19 06:00:00,"Class_A"
-80.8368,26.06885,"November 1993",1993-11-20 06:00:00,"Class_A"
-81.29691,25.91695,"July 1997",1997-07-17 06:00:00,"Class_A"
-82.98365,29.6699,"February 1998",1998-02-09 06:00:00,"Class_A"
-82.50591,28.50665,"1969-1980",1969-06-15 07:00:00,"Class_A"
-85.217,30.8724,"1990",1990-08-15 06:00:00,"Class_A"
-81.62275,29.10635,"July 1980",1980-07-02 06:00:00,"Class_A"
-82.05835,29.0599,"October 1977",1977-10-05 07:00:00,"Class_A"
-81.90875,29.1951,"November 1977",1977-11-15 06:00:00,"Class_A"
-81.9233,29.19395,"July 1997",1997-07-25 06:00:00,"Class_A"
-86.5065,30.51295,"1996",1996-09-15 06:00:00,"Class_A"
-80.93504,28.3609,"March 1999",1999-03-13 06:00:00,"Class_A"
-81.12476,27.97255,"November 1998",1998-11-22 06:00:00,"Class_A"
-81.0621,28.1382,"May 1999",1999-05-21 06:00:00,"Class_A"
-81.19445,27.99245,"January 1999",1999-01-02 06:00:00,"Class_A"
-82.6053,28.3836,"June 1984",1984-06-15 06:00:00,"Class_A"
-80.93919,28.85025,"1989",1989-04-17 06:00:00,"Class_A"
-86.9648,30.84015,"January 1982",1982-01-15 06:00:00,"Class_A"
-81.3456,29.85375,"October 1984",1984-10-15 07:00:00,"Class_A"
-81.96195,29.7351,"1971-72?",1971-07-15 07:00:00,"Class_A"
-81.8708,26.59885,"1973-74?",1973-08-23 07:00:00,"Class_A"
-82.45165,27.7068,"June 1984",1984-06-16 06:00:00,"Class_A"
-81.5446,28.6901,"1980",1980-04-15 05:00:00,"Class_A"
-82.55556,29.4179,"June 1991",1991-06-15 06:00:00,"Class_A"
-82.3657,29.77535,"1985",1985-09-29 07:00:00,"Class_A"
-81.1273,29.47035,"August 1978-70",1974-08-15 07:00:00,"Class_A"
-81.0651,26.01535,"May 1973",2004-02-21 06:00:00,"Class_A"
-81.68295,29.77295,"1947/48",1947-07-01 06:00:00,"Class_A"
-80.13215,27.0099,"July 1978",2004-08-02 06:00:00,"Class_A"
-84.20835,30.4836,"December 2001",2001-12-31 06:00:00,"Class_A"
-87.1814,30.9905,"April 1994",1994-04-15 06:00:00,"Class_A"
